match_id,match_venue,match_innings,batting_team,bowling_team,run_rate,total_score
335982.0,M Chinnaswamy Stadium,1.0,Kolkata Knight Riders,Royal Challengers Bangalore,10.166666666666666,61.0
335982.0,M Chinnaswamy Stadium,2.0,Royal Challengers Bangalore,Kolkata Knight Riders,4.333333333333333,26.0
335983.0,"Punjab Cricket Association Stadium, Mohali",1.0,Chennai Super Kings,Kings XI Punjab,8.833333333333334,53.0
335983.0,"Punjab Cricket Association Stadium, Mohali",2.0,Kings XI Punjab,Chennai Super Kings,9.333333333333334,56.0
335984.0,Feroz Shah Kotla,1.0,Rajasthan Royals,Delhi Daredevils,6.666666666666667,40.0
335984.0,Feroz Shah Kotla,2.0,Delhi Daredevils,Rajasthan Royals,9.166666666666666,55.0
335986.0,Eden Gardens,1.0,Deccan Chargers,Kolkata Knight Riders,6.5,39.0
335986.0,Eden Gardens,2.0,Kolkata Knight Riders,Deccan Chargers,4.333333333333333,26.0
335985.0,Wankhede Stadium,1.0,Mumbai Indians,Royal Challengers Bangalore,7.833333333333333,47.0
335985.0,Wankhede Stadium,2.0,Royal Challengers Bangalore,Mumbai Indians,6.666666666666667,40.0
335987.0,Sawai Mansingh Stadium,1.0,Kings XI Punjab,Rajasthan Royals,9.0,54.0
335987.0,Sawai Mansingh Stadium,2.0,Rajasthan Royals,Kings XI Punjab,8.833333333333334,53.0
335988.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Deccan Chargers,Delhi Daredevils,4.166666666666667,25.0
335988.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Delhi Daredevils,Deccan Chargers,7.333333333333333,44.0
335989.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Mumbai Indians,8.666666666666666,52.0
335989.0,"MA Chidambaram Stadium, Chepauk",2.0,Mumbai Indians,Chennai Super Kings,8.666666666666666,52.0
335990.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Deccan Chargers,Rajasthan Royals,9.5,57.0
335990.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Rajasthan Royals,Deccan Chargers,12.166666666666666,73.0
335991.0,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,Mumbai Indians,9.333333333333334,56.0
335991.0,"Punjab Cricket Association Stadium, Mohali",2.0,Mumbai Indians,Kings XI Punjab,6.5,39.0
335993.0,"MA Chidambaram Stadium, Chepauk",1.0,Kolkata Knight Riders,Chennai Super Kings,10.166666666666666,61.0
335993.0,"MA Chidambaram Stadium, Chepauk",2.0,Chennai Super Kings,Kolkata Knight Riders,7.5,45.0
335992.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Rajasthan Royals,9.5,57.0
335992.0,M Chinnaswamy Stadium,2.0,Rajasthan Royals,Royal Challengers Bangalore,7.5,45.0
335994.0,Dr DY Patil Sports Academy,1.0,Mumbai Indians,Deccan Chargers,4.5,27.0
335994.0,Dr DY Patil Sports Academy,2.0,Deccan Chargers,Mumbai Indians,9.833333333333334,59.0
335995.0,"Punjab Cricket Association Stadium, Mohali",1.0,Delhi Daredevils,Kings XI Punjab,7.5,45.0
335995.0,"Punjab Cricket Association Stadium, Mohali",2.0,Kings XI Punjab,Delhi Daredevils,9.166666666666666,55.0
335996.0,M Chinnaswamy Stadium,1.0,Chennai Super Kings,Royal Challengers Bangalore,6.0,36.0
335996.0,M Chinnaswamy Stadium,2.0,Royal Challengers Bangalore,Chennai Super Kings,7.5,45.0
335997.0,Eden Gardens,1.0,Kolkata Knight Riders,Mumbai Indians,6.666666666666667,40.0
335997.0,Eden Gardens,2.0,Mumbai Indians,Kolkata Knight Riders,6.333333333333333,38.0
335998.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Royal Challengers Bangalore,9.666666666666666,58.0
335998.0,Feroz Shah Kotla,2.0,Royal Challengers Bangalore,Delhi Daredevils,9.166666666666666,55.0
336000.0,Sawai Mansingh Stadium,1.0,Rajasthan Royals,Kolkata Knight Riders,7.5,45.0
336000.0,Sawai Mansingh Stadium,2.0,Kolkata Knight Riders,Rajasthan Royals,8.5,51.0
335999.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Deccan Chargers,Kings XI Punjab,8.333333333333334,50.0
335999.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Kings XI Punjab,Deccan Chargers,6.833333333333333,41.0
336001.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Delhi Daredevils,7.833333333333333,47.0
336001.0,"MA Chidambaram Stadium, Chepauk",2.0,Delhi Daredevils,Chennai Super Kings,10.666666666666666,64.0
336003.0,"Punjab Cricket Association Stadium, Mohali",1.0,Kings XI Punjab,Kolkata Knight Riders,8.166666666666666,49.0
336003.0,"Punjab Cricket Association Stadium, Mohali",2.0,Kolkata Knight Riders,Kings XI Punjab,5.166666666666667,31.0
336034.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Deccan Chargers,7.666666666666667,46.0
336034.0,M Chinnaswamy Stadium,2.0,Deccan Chargers,Royal Challengers Bangalore,5.5,33.0
336005.0,Sawai Mansingh Stadium,1.0,Chennai Super Kings,Rajasthan Royals,6.333333333333333,38.0
336005.0,Sawai Mansingh Stadium,2.0,Rajasthan Royals,Chennai Super Kings,7.333333333333333,44.0
336004.0,Dr DY Patil Sports Academy,1.0,Mumbai Indians,Delhi Daredevils,8.333333333333334,50.0
336004.0,Dr DY Patil Sports Academy,2.0,Delhi Daredevils,Mumbai Indians,6.166666666666667,37.0
336006.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Kings XI Punjab,4.333333333333333,26.0
336006.0,M Chinnaswamy Stadium,2.0,Kings XI Punjab,Royal Challengers Bangalore,8.666666666666666,52.0
336007.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Deccan Chargers,5.666666666666667,34.0
336007.0,"MA Chidambaram Stadium, Chepauk",2.0,Deccan Chargers,Chennai Super Kings,8.333333333333334,50.0
336008.0,Dr DY Patil Sports Academy,1.0,Rajasthan Royals,Mumbai Indians,8.0,48.0
336008.0,Dr DY Patil Sports Academy,2.0,Mumbai Indians,Rajasthan Royals,5.666666666666667,34.0
336009.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Chennai Super Kings,8.333333333333334,50.0
336009.0,Feroz Shah Kotla,2.0,Chennai Super Kings,Delhi Daredevils,9.666666666666666,58.0
336010.0,Eden Gardens,1.0,Kolkata Knight Riders,Royal Challengers Bangalore,6.833333333333333,41.0
336010.0,Eden Gardens,2.0,Royal Challengers Bangalore,Kolkata Knight Riders,5.833333333333333,35.0
336011.0,Sawai Mansingh Stadium,1.0,Deccan Chargers,Rajasthan Royals,8.333333333333334,50.0
336011.0,Sawai Mansingh Stadium,2.0,Rajasthan Royals,Deccan Chargers,8.333333333333334,50.0
336013.0,"MA Chidambaram Stadium, Chepauk",1.0,Chennai Super Kings,Kings XI Punjab,8.5,51.0
336013.0,"MA Chidambaram Stadium, Chepauk",2.0,Kings XI Punjab,Chennai Super Kings,5.833333333333333,35.0
336014.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Kolkata Knight Riders,Deccan Chargers,7.166666666666667,43.0
336014.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Deccan Chargers,Kolkata Knight Riders,8.666666666666666,52.0
336015.0,Sawai Mansingh Stadium,1.0,Delhi Daredevils,Rajasthan Royals,7.833333333333333,47.0
336015.0,Sawai Mansingh Stadium,2.0,Rajasthan Royals,Delhi Daredevils,3.5,21.0
336016.0,"Punjab Cricket Association Stadium, Mohali",1.0,Royal Challengers Bangalore,Kings XI Punjab,8.333333333333334,50.0
336016.0,"Punjab Cricket Association Stadium, Mohali",2.0,Kings XI Punjab,Royal Challengers Bangalore,7.0,42.0
336017.0,Eden Gardens,1.0,Kolkata Knight Riders,Delhi Daredevils,5.833333333333333,35.0
336017.0,Eden Gardens,2.0,Delhi Daredevils,Kolkata Knight Riders,6.166666666666667,37.0
336018.0,Wankhede Stadium,1.0,Chennai Super Kings,Mumbai Indians,4.666666666666667,28.0
336018.0,Wankhede Stadium,2.0,Mumbai Indians,Chennai Super Kings,13.0,78.0
336020.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Deccan Chargers,8.0,48.0
336020.0,Feroz Shah Kotla,2.0,Deccan Chargers,Delhi Daredevils,11.833333333333334,71.0
336021.0,Wankhede Stadium,1.0,Kolkata Knight Riders,Mumbai Indians,4.5,27.0
336023.0,Sawai Mansingh Stadium,1.0,Rajasthan Royals,Royal Challengers Bangalore,19.833333333333332,119.0
336023.0,Sawai Mansingh Stadium,2.0,Royal Challengers Bangalore,Rajasthan Royals,3.8333333333333335,23.0
336022.0,Feroz Shah Kotla,1.0,Delhi Daredevils,Kings XI Punjab,11.333333333333334,68.0
336022.0,Feroz Shah Kotla,2.0,Kings XI Punjab,Delhi Daredevils,12.166666666666666,73.0
336024.0,"Rajiv Gandhi International Stadium, Uppal",1.0,Mumbai Indians,Deccan Chargers,9.5,57.0
336024.0,"Rajiv Gandhi International Stadium, Uppal",2.0,Deccan Chargers,Mumbai Indians,4.666666666666667,28.0
336025.0,Eden Gardens,1.0,Kolkata Knight Riders,Chennai Super Kings,5.833333333333333,35.0
336025.0,Eden Gardens,2.0,Chennai Super Kings,Kolkata Knight Riders,7.166666666666667,43.0
336026.0,M Chinnaswamy Stadium,1.0,Royal Challengers Bangalore,Delhi Daredevils,6.833333333333333,41.0
336026.0,M Chinnaswamy Stadium,2.0,Delhi Daredevils,Royal Challengers Bangalore,11.833333333333334,71.0
336027.0,Eden Gardens,1.0,Kolkata Knight Riders,Rajasthan Royals,5.333333333333333,32.0
336027.0,Eden Gardens,2.0,Rajasthan Royals,Kolkata Knight Riders,7.0,42.0
336028.0,Wankhede Stadium,1.0,Kings XI Punjab,Mumbai Indians,7.166666666666667,43.0
336028.0,Wankhede Stadium,2.0,Mumbai Indians,Kings XI Punjab,11.333333333333334,68.0
336029.0,"MA Chidambaram Stadium, Chepauk",1.0,Royal Challengers Bangalore,Chennai Super Kings,3.8333333333333335,23.0
336029.0,"MA Chidambaram Stadium, Chepauk",2.0,Chennai Super Kings,Royal Challengers Bangalore,7.333333333333333,44.0
336031.0,"Punjab Cricket Association Stadium, Mohali",1.0,Deccan Chargers,Kings XI Punjab,7.0,42.0
336031.0,"Punjab Cricket Association Stadium, Mohali",2.0,Kings XI Punjab,Deccan Chargers,12.333333333333334,74.0
336032.0,Feroz Shah Kotla,1.0,Mumbai Indians,Delhi Daredevils,10.0,60.0
336032.0,Feroz Shah Kotla,2.0,Delhi Daredevils,Mumbai Indians,9.333333333333334,56.0
336033.0,"MA Chidambaram Stadium, Chepauk",1.0,Rajasthan Royals,Chennai Super Kings,11.166666666666666,67.0
336033.0,"MA Chidambaram Stadium, Chepauk",2.0,Chennai Super Kings,Rajasthan Royals,10.833333333333334,65.0
